序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,report_date,year
108,874798,环能涡轮,3.83,288265828.11,,,115049318.0,,,9.138580176667,42.62,3.514311642333,45.8528044641,,2025-12-30,20221231,2022
109,874769,莫森泰克,1.43,981691982.47,,,111080820.16,,,5.621523049665,27.6,3.588826305341,17.7648604353,,2025-12-30,20221231,2022
110,874727,尚睿科技,1.46,1199613786.26,,,77036219.88,,,7.430020881376,21.92,2.989562582578,39.9781326634,,2025-12-30,20221231,2022
111,874684,科建股份,0.77,358789576.95,,,40531881.07,,,4.149895676888,21.68,0.704108177806,25.1582345388,,2025-12-30,20221231,2022
112,874671,吉宝股份,1.48,250335470.64,,,46786215.58,,,4.737450834746,32.21,1.110328327401,31.794682534,,2025-12-30,20221231,2022
113,874630,凯得智能,1.01,475044294.68,,,60907424.06,,,2.2384920512,36.35,1.5401174224,24.5518545062,,2025-12-30,20221231,2022
114,874498,艾斯迪,0.94,531832472.82,-3.2781636269,,47824557.04,8.1316998113,,7.488066785882,13.01,0.472628157451,19.6452845378,,2025-12-30,20221231,2022
115,874421,旭阳新材,0.63,878489500.0,,,72690000.0,,,4.636117714429,14.82,-0.503423681296,21.9512128489,,2025-12-30,20221231,2022
116,874322,幺麻子,0.61,450305252.47,-2.4989067448,-16.7458,81086343.2,-17.1714026278,-48.5872,5.622674568712,11.57,0.269776160076,31.9765667378,,2025-12-30,20221231,2022
117,874235,远大健科,,686342346.74,,,43116506.04,,,7.883311214453,22.03,2.331750813672,46.2950621988,,2025-12-30,20221231,2022
118,874158,天元重工,0.24,585249399.28,,,39677791.45,,,2.625044313025,9.06,-0.114581057323,21.4323371274,,2025-12-30,20221231,2022
119,873974,培源股份,1.03,551061471.73,,,69219366.25,,,5.059292960415,21.25,1.486654634544,23.5317282849,,2025-12-30,20221231,2022
120,832684,天运股份,0.34,306774502.27,4.6849465525,18.8911,40922435.8,109.5141131368,2.1775,1.32,33.48,0.204072855143,21.8408529145,,2025-12-30,20221231,2022
121,002342,巨力索具,0.0095,2172613748.65,-11.8938319129,5.7092,9084822.43,-62.08,-203.1896,2.589384467896,0.37,0.101315597375,17.7016241239,通用设备,2025-12-29,20221231,2022
122,874919,济人药业,0.43,1024896662.29,27.2539619932,,156507885.1,64.4494459388,,1.653119955087,29.66,0.433620140074,51.3023072175,,2025-12-26,20221231,2022
123,874859,昌德科技,1.44,968836166.04,14.4491411554,-13.6119,183300984.95,74.6253034316,-60.4192,5.197039982292,32.14,1.400305058743,35.2130803884,,2025-12-26,20221231,2022
124,874751,宏景电子,0.15,672607808.79,,,16994579.88,,,1.977789464711,7.7,0.136583382053,17.7148014508,,2025-12-26,20221231,2022
125,874528,国贵科技,1.32,749166435.97,,,85881011.77,,,6.173366083617,24.25,0.82331308202,43.2543396462,,2025-12-26,20221231,2022
126,873074,富士智能,0.22,568644535.29,-9.46606348,,29716874.38,-48.9098829494,,3.614632224938,6.26,0.26663963696,19.9623218998,,2025-12-26,20221231,2022
127,301687,新广益,0.9,455262721.99,-8.2321895848,,81513431.22,-2.3795922224,,4.325471462668,35.56,0.964533632476,31.7616273056,塑料,2025-12-26,20221231,2022
128,874812,铁近科技,1.11,206883977.0,,,48276218.33,,,6.290583311269,19.29,0.59548398328,42.2751498633,,2025-12-25,20221231,2022
129,874773,犇星新材,1.25,3725826288.75,,,451176046.21,,,6.061964139,22.16,1.670488871389,23.3362737899,,2025-12-25,20221231,2022
130,874642,星基智造,0.56,129482333.91,,,18568154.98,,,1.165491547879,81.63,0.903931591212,39.4103845822,,2025-12-25,20221231,2022
131,874242,美亚科技,0.59,457394815.9,24.5007183195,,40328031.93,58.6466087016,,6.92,9.09,0.967486834987,31.9984255467,,2025-12-25,20221231,2022
132,873952,鑫森炭业,0.39,279680400.95,24.2723351333,,47971404.89,31.6767004974,,2.35,18.11,0.382558657972,30.3673516205,,2025-12-25,20221231,2022
133,688270,臻镭科技,0.72,234153387.34,22.8632439891,100.8417,101004340.86,8.98,56.1229,19.062918723743,5.66,0.164389053383,87.9892934971,半导体,2025-12-25,20221231,2022
134,600592,龙溪股份,-0.02,1671954653.1,17.354559037,-0.3056,-5989962.6,-102.01,211.4711,5.586693414611,-0.27,0.480145477388,24.9521667455,通用设备,2025-12-25,20221231,2022
135,001396,誉帆科技,1.0,513013124.86,2.5702862696,,80518212.81,-17.4202047664,,6.996983834814,14.09,-0.962323877454,48.2603651081,基础建设,2025-12-25,20221231,2022
136,001369,双欣材料,0.94,5061382836.96,11.9748212944,,808390834.03,3.4812706686,,4.081518279302,26.09,1.009359768384,24.9203618786,化学纤维,2025-12-25,20221231,2022
137,920030,德众汽车,0.13,2657981597.63,-3.1692625358,-8.622,23118259.88,-61.77,24.1393,2.72,4.88,0.077273867873,7.3035055985,汽车服务,2025-12-24,20221231,2022
138,874562,家鸿口腔,0.42,414324802.39,,,33103607.85,,,6.989988343625,6.1,0.495494372462,33.2248302409,,2025-12-22,20221231,2022
139,874200,广泰真空,0.67,280530478.52,,,44255922.01,,,1.888509042009,44.04,0.900213982953,27.3164184492,,2025-12-22,20221231,2022
140,600368,五洲交通,0.5169,1500549958.31,-18.032316051,11.1428,581800638.15,-17.09,-10.0501,5.065931470815,10.61,1.787607169415,58.0334309076,铁路公路,2025-12-20,20221231,2022
141,874527,贝尔生物,0.59,274532128.32,,,44189702.49,,,6.3899952244,9.75,2.3736489928,71.2370730511,,2025-12-19,20221231,2022
142,688805,健信超导,0.28,358934524.27,,,34634950.26,,,2.930752555473,10.13,-0.301635135565,23.3105674218,医疗器械,2025-12-19,20221231,2022
143,603402,陕西旅游,-1.24,231889509.35,-36.0084933455,,-72072801.86,-298.2597137396,,5.89,-19.65,0.254116844138,-3.6381223858,旅游及景区,2025-12-18,20221231,2022
144,603248,锡华科技,0.51,941747954.4,7.2870273568,,183458551.39,-2.1422085617,,2.322286240083,32.1,0.224592362778,29.3160700737,风电设备,2025-12-18,20221231,2022
145,301449,天溯计量,1.73,597200884.17,20.5928359346,,84385417.29,62.202607574,,6.748880514163,29.4,2.052973272733,52.6863496355,专业服务,2025-12-18,20221231,2022
146,874867,佳宏新材,2.03,354522091.81,18.217212573,-18.8344,76980590.31,46.3236054917,-10.3396,10.934290313247,20.5,2.585096727081,39.2723804712,,2025-12-15,20221231,2022
147,874431,英氏控股,0.79,1296052091.6,37.3544884568,,117336185.4,64.9063970052,,3.86,23.77,1.367070451359,55.1818798299,,2025-12-15,20221231,2022
148,874386,杰锋动力,1.24,1063142917.74,,,55872747.1,,,7.149000453059,17.04,0.243798615183,19.1767702468,,2025-12-15,20221231,2022
149,603322,超讯通信,0.1,2025842859.98,36.5452948739,52.9663,15189630.89,106.5806723805,-241.7581,1.440014017652,7.55,0.360227728365,8.2876081303,通信服务,2025-12-13,20221231,2022
150,920121,江天科技,1.41,384134567.83,10.6825727861,,74453978.27,21.4977866359,,5.136769618265,31.99,0.062888095567,28.0457886825,包装印刷,2025-12-12,20221231,2022
151,874886,映日科技,0.95,434433841.5,37.8960447573,,84499248.5,0.5105360803,,4.984346936244,20.95,0.23057442552,31.9244168413,,2025-12-12,20221231,2022
152,301667,纳百川,1.35,1030915322.02,98.3699439794,,113315623.17,134.6469096528,,5.14696599564,30.4,0.244618344115,21.7906987239,汽车零部件,2025-12-12,20221231,2022
153,688809,强一股份,0.16,254157123.29,131.5318056941,,15622352.44,216.9475218092,,8.836113915903,3.59,-0.38845379253,40.7808500774,半导体,2025-12-11,20221231,2022
154,688802,沐曦股份,,426400.0,,,-776965202.5,,,177.229548092369,-96.58,-127.547336745243,24.0975609756,半导体,2025-12-11,20221231,2022
155,688790,昂瑞微,-3.88,923044721.24,,,-289885426.12,,,16.673285077881,-21.41,-0.528554185343,17.0640205654,半导体,2025-12-11,20221231,2022
156,874552,原力数字,2.87,502854602.87,22.1060642252,,69115276.14,-2.0168450921,,21.454699277307,14.35,3.617536471229,31.5690270635,,2025-12-05,20221231,2022
157,001325,元创股份,2.36,1260659513.82,21.2472615517,,138895741.35,50.1727245087,,15.107782618878,16.96,2.696062835544,18.8181264084,橡胶,2025-12-05,20221231,2022
158,874640,百迈科,0.82,90675861.1,,,29499404.5,,,2.352504707401,43.04,1.099509231458,76.5222001184,,2025-12-04,20221231,2022
159,874236,华晟智能,,331190134.5,,,34818676.02,,,2.362178412229,75.22,-1.841919678114,29.3340604262,,2025-12-04,20221231,2022
160,874111,兢强科技,0.86,1075521994.35,2.3323567005,,51601499.54,-43.1757987679,,8.74,10.37,-2.361435584301,9.1828585579,,2025-12-03,20221231,2022
161,874752,金史密斯,0.05,433481382.5,,,2376073.27,,,4.0494650688,1.19,1.1068763516,30.7909291306,,2025-11-28,20221231,2022
162,874392,祺龙海洋,0.34,240309460.81,98.8228447853,,48195606.46,171.3940481573,,1.59,23.59,0.158845297901,35.600710185,,2025-11-28,20221231,2022
163,874391,金钛股份,0.27,1368728842.11,26.2017925589,,55782488.13,-29.6451768204,,4.69201805281,5.87,-0.390485834714,7.9871160471,,2025-11-28,20221231,2022
164,688807,优迅股份,,339072292.02,,,81398412.05,,,15.638826270935,26.9,1.544298648381,55.4308636457,半导体,2025-11-28,20221231,2022
165,002463,沪电股份,0.7179,8336030158.0,12.3649543544,26.8549,1361574992.0,28.03,13.4771,4.358664120655,17.7,0.825540452131,30.2832754699,元件,2025-11-28,20221231,2022
166,873981,正导技术,0.26,876110856.86,13.3560641524,,23807503.93,51.6189301159,,1.8,17.26,-2.053482755464,9.8311593362,,2025-11-25,20221231,2022
